user_id,gender,age,location,device
0,Female,33,NL,Desktop
1,Male,28,BR,Mobile
2,Female,42,US,Mobile
3,Female,49,DE,Desktop
4,Male,30,NL,Mobile
5,Non-binary,54,BR,Mobile
6,Female,48,JP,Desktop
7,Female,25,IN,Mobile
8,Male,62,FR,Desktop
9,Male,20,FR,Desktop
10,Male,48,FR,Mobile
11,Female,38,NL,Mobile
12,Female,48,US,Mobile
13,Female,54,BR,Desktop
14,Male,50,BR,Mobile
15,Male,48,NL,Desktop
16,Female,57,IN,Mobile
17,Male,50,BR,Mobile
18,Female,56,UK,Mobile
19,Female,36,US,Mobile
20,Female,27,US,Mobile
21,Male,29,UK,Mobile
22,Non-binary,46,DE,Tablet
23,Female,42,US,Mobile
24,Female,21,US,Desktop
25,Male,27,US,Mobile
26,Male,63,IN,Desktop
27,Male,52,IN,Mobile
28,Male,53,DE,Desktop
29,Female,27,US,Mobile
30,Female,21,US,Mobile
31,Non-binary,31,US,Mobile
32,Male,58,DE,Mobile
33,Male,41,US,Mobile
34,Male,54,UK,Mobile
35,Male,40,JP,Tablet
36,Male,41,NL,Mobile
37,Male,46,IN,Mobile
38,Male,63,US,Desktop
39,Female,38,UK,Desktop
40,Male,46,JP,Mobile
41,Female,61,DE,Mobile
42,Female,35,FR,Mobile
43,Male,57,JP,Mobile
44,Female,43,FR,Mobile
45,Female,59,UK,Desktop
46,Male,39,NL,Desktop
47,Male,47,US,Mobile
48,Female,33,US,Mobile
49,Male,47,US,Mobile
50,Male,33,IN,Mobile
51,Male,46,BR,Mobile
52,Female,55,UK,Desktop
53,Female,38,US,Mobile
54,Female,38,BR,Tablet
55,Female,33,IN,Mobile
56,Male,52,UK,Mobile
57,Female,45,UK,Mobile
58,Male,42,IN,Desktop
59,Male,19,IN,Mobile
60,Female,23,IN,Mobile
61,Male,18,UK,Mobile
62,Female,57,US,Desktop
63,Female,58,DE,Tablet
64,Female,21,UK,Mobile
65,Female,20,IN,Mobile
66,Female,54,US,Mobile
67,Male,42,FR,Mobile
68,Male,32,IN,Tablet
69,Male,46,JP,Mobile
70,Male,29,BR,Desktop
71,Male,27,JP,Tablet
72,Female,35,US,Desktop
73,Male,60,UK,Mobile
74,Male,54,US,Desktop
75,Male,26,JP,Mobile
76,Male,44,IN,Mobile
77,Female,59,US,Tablet
78,Female,62,US,Mobile
79,Female,53,UK,Mobile
80,Female,24,UK,Mobile
81,Male,29,IN,Mobile
82,Female,28,US,Desktop
83,Male,25,IN,Desktop
84,Male,26,FR,Desktop
85,Male,32,DE,Mobile
86,Female,44,US,Mobile
87,Male,36,JP,Mobile
88,Male,37,FR,Mobile
89,Female,29,DE,Desktop
90,Male,25,DE,Desktop
91,Female,64,IN,Desktop
92,Male,46,IN,Desktop
93,Male,28,IN,Mobile
94,Male,56,FR,Desktop
95,Female,57,IN,Desktop
96,Male,63,UK,Tablet
97,Male,25,BR,Mobile
98,Male,48,DE,Desktop
99,Non-binary,64,FR,Mobile
100,Female,55,JP,Desktop
101,Female,28,JP,Tablet
102,Male,59,NL,Tablet
103,Non-binary,37,FR,Mobile
